start_time,end_time,duration_hours,sleep_stage
2025-12-29 00:21:14 -0800,2025-12-29 00:22:44 -0800,0.0250,Deep Sleep
2025-12-29 00:22:44 -0800,2025-12-29 00:34:12 -0800,0.1911,Core Sleep
2025-12-29 00:34:12 -0800,2025-12-29 00:44:40 -0800,0.1744,Deep Sleep
2025-12-29 00:44:40 -0800,2025-12-29 01:06:35 -0800,0.3653,Core Sleep
2025-12-29 01:06:35 -0800,2025-12-29 01:33:00 -0800,0.4403,Deep Sleep
2025-12-29 01:33:00 -0800,2025-12-29 01:36:29 -0800,0.0581,Awake
2025-12-29 01:36:29 -0800,2025-12-29 02:55:14 -0800,1.3125,Core Sleep
2025-12-29 02:55:14 -0800,2025-12-29 03:32:07 -0800,0.6147,REM Sleep
2025-12-29 03:32:07 -0800,2025-12-29 04:11:29 -0800,0.6561,Core Sleep
2025-12-29 04:11:29 -0800,2025-12-29 04:20:57 -0800,0.1578,Deep Sleep
2025-12-29 04:20:57 -0800,2025-12-29 04:44:53 -0800,0.3989,Core Sleep
2025-12-29 04:44:53 -0800,2025-12-29 05:06:18 -0800,0.3569,REM Sleep
2025-12-29 05:06:18 -0800,2025-12-29 06:07:07 -0800,1.0136,Core Sleep
2025-12-29 06:07:07 -0800,2025-12-29 06:49:28 -0800,0.7058,REM Sleep
2025-12-29 06:49:28 -0800,2025-12-29 07:01:56 -0800,0.2078,Core Sleep
2025-12-30 01:41:01 -0800,2025-12-30 01:53:59 -0800,0.2161,Core Sleep
2025-12-30 01:53:59 -0800,2025-12-30 02:08:26 -0800,0.2408,Deep Sleep
2025-12-30 02:08:26 -0800,2025-12-30 02:22:53 -0800,0.2408,Core Sleep
2025-12-30 02:22:53 -0800,2025-12-30 02:40:50 -0800,0.2992,Deep Sleep
2025-12-30 02:40:50 -0800,2025-12-30 03:44:36 -0800,1.0628,Core Sleep
2025-12-30 03:44:36 -0800,2025-12-30 03:59:33 -0800,0.2492,Deep Sleep
2025-12-30 03:59:33 -0800,2025-12-30 04:02:03 -0800,0.0417,Core Sleep
2025-12-30 04:02:03 -0800,2025-12-30 04:05:02 -0800,0.0497,Deep Sleep
2025-12-30 04:05:02 -0800,2025-12-30 04:05:32 -0800,0.0083,Core Sleep
2025-12-30 04:05:32 -0800,2025-12-30 04:06:02 -0800,0.0083,Awake
