date,hour,day_of_week,hrv_ms,sleep_hours,sleep_score,resting_hr,steps,active_energy,cct_kelvin,brightness_percent
2024-09-08,0,6,70.0,7.0,68.0,50.0,491,7.79,2100,10
2024-09-08,1,6,70.0,7.0,68.0,50.0,491,7.79,2100,10
2024-09-08,2,6,70.0,7.0,68.0,50.0,491,7.79,2100,10
2024-09-08,3,6,70.0,7.0,68.0,50.0,491,7.79,2100,10
2024-09-08,4,6,70.0,7.0,68.0,50.0,491,7.79,2100,10
2024-09-08,5,6,70.0,7.0,68.0,50.0,491,7.79,2100,10
2024-09-08,6,6,70.0,7.0,68.0,50.0,491,7.79,2100,10
2024-09-08,7,6,70.0,7.0,68.0,50.0,491,7.79,3000,35
2024-09-08,8,6,70.0,7.0,68.0,50.0,491,7.79,3500,45
2024-09-08,9,6,70.0,7.0,68.0,50.0,491,7.79,3500,62
2024-09-08,10,6,70.0,7.0,68.0,50.0,491,7.79,3500,62
2024-09-08,11,6,70.0,7.0,68.0,50.0,491,7.79,3500,59
2024-09-08,12,6,70.0,7.0,68.0,50.0,491,7.79,3500,59
2024-09-08,13,6,70.0,7.0,68.0,50.0,491,7.79,3500,59
2024-09-08,14,6,70.0,7.0,68.0,50.0,491,7.79,3500,59
2024-09-08,15,6,70.0,7.0,68.0,50.0,491,7.79,3500,59
2024-09-08,16,6,70.0,7.0,68.0,50.0,491,7.79,3500,59
2024-09-08,17,6,70.0,7.0,68.0,50.0,491,7.79,3500,49
2024-09-08,18,6,70.0,7.0,68.0,50.0,491,7.79,3500,45
2024-09-08,19,6,70.0,7.0,68.0,50.0,491,7.79,3500,42
2024-09-08,20,6,70.0,7.0,68.0,50.0,491,7.79,3375,38
2024-09-08,21,6,70.0,7.0,68.0,50.0,491,7.79,2700,28
2024-09-08,22,6,70.0,7.0,68.0,50.0,491,7.79,2533,24
2024-09-08,23,6,70.0,7.0,68.0,50.0,491,7.79,2366,21
2024-09-09,0,0,70.0,7.0,68.0,50.0,473,6.1,2100,10
2024-09-09,1,0,70.0,7.0,68.0,50.0,473,6.1,2100,10
2024-09-09,2,0,70.0,7.0,68.0,50.0,473,6.1,2100,10
2024-09-09,3,0,70.0,7.0,68.0,50.0,473,6.1,2100,10
2024-09-09,4,0,70.0,7.0,68.0,50.0,473,6.1,2100,10
2024-09-09,5,0,70.0,7.0,68.0,50.0,473,6.1,2100,10
2024-09-09,6,0,70.0,7.0,68.0,50.0,473,6.1,2100,10
2024-09-09,7,0,70.0,7.0,68.0,50.0,473,6.1,3000,35
2024-09-09,8,0,70.0,7.0,68.0,50.0,473,6.1,3500,45
2024-09-09,9,0,70.0,7.0,68.0,50.0,473,6.1,3500,62
2024-09-09,10,0,70.0,7.0,68.0,50.0,473,6.1,3500,62
2024-09-09,11,0,70.0,7.0,68.0,50.0,473,6.1,3500,59
2024-09-09,12,0,70.0,7.0,68.0,50.0,473,6.1,3500,59
2024-09-09,13,0,70.0,7.0,68.0,50.0,473,6.1,3500,59
2024-09-09,14,0,70.0,7.0,68.0,50.0,473,6.1,3500,59
2024-09-09,15,0,70.0,7.0,68.0,50.0,473,6.1,3500,59
2024-09-09,16,0,70.0,7.0,68.0,50.0,473,6.1,3500,59
2024-09-09,17,0,70.0,7.0,68.0,50.0,473,6.1,3500,49
2024-09-09,18,0,70.0,7.0,68.0,50.0,473,6.1,3500,45
2024-09-09,19,0,70.0,7.0,68.0,50.0,473,6.1,3500,42
2024-09-09,20,0,70.0,7.0,68.0,50.0,473,6.1,3375,38
2024-09-09,21,0,70.0,7.0,68.0,50.0,473,6.1,2700,28
2024-09-09,22,0,70.0,7.0,68.0,50.0,473,6.1,2533,24
2024-09-09,23,0,70.0,7.0,68.0,50.0,473,6.1,2366,21
2024-09-10,0,1,70.0,7.0,68.0,50.0,885,18.07,2100,10
2024-09-10,1,1,70.0,7.0,68.0,50.0,885,18.07,2100,10
2024-09-10,2,1,70.0,7.0,68.0,50.0,885,18.07,2100,10
2024-09-10,3,1,70.0,7.0,68.0,50.0,885,18.07,2100,10
2024-09-10,4,1,70.0,7.0,68.0,50.0,885,18.07,2100,10
2024-09-10,5,1,70.0,7.0,68.0,50.0,885,18.07,2100,10
2024-09-10,6,1,70.0,7.0,68.0,50.0,885,18.07,2100,10
2024-09-10,7,1,70.0,7.0,68.0,50.0,885,18.07,3000,35
2024-09-10,8,1,70.0,7.0,68.0,50.0,885,18.07,3500,45
2024-09-10,9,1,70.0,7.0,68.0,50.0,885,18.07,3500,62
2024-09-10,10,1,70.0,7.0,68.0,50.0,885,18.07,3500,62
2024-09-10,11,1,70.0,7.0,68.0,50.0,885,18.07,3500,59
